#SYMBOL;#TYPE;#NOTUSED;#NOTUSED;#COMMENT
#READ;;;;
HEADER.Teil_Aktuell_Daten.Res_128_999[171];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[172];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[173];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[174];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[175];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[176];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[177];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[178];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[179];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[180];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[181];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[182];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[183];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[184];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[185];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[186];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[187];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[188];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[189];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[190];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[191];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[192];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[193];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[194];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[195];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[196];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[197];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[198];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[199];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[200];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[201];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[202];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[203];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[204];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[205];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[206];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[207];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[208];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[209];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[210];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[211];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[212];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[213];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[214];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[215];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[216];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[217];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[218];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Res_128_999[219];BYTE;B#16#0;B#16#0;
